n_epochs,accuracy,mse,r2,bias,variance
1.0,0.7812911725955204,0.16708912020010527,0.2959047073806098,0.23928068007921396,0.054807779450953706
2.0,0.7852437417654808,0.16417359839179713,0.3081903976655339,0.23835011541860587,0.05625484917371128
3.0,0.7878787878787878,0.16586083723614312,0.30108055756100827,0.2388184645030888,0.05458175289338516
4.0,0.7891963109354414,0.16453856231759867,0.3066524795663482,0.23825883216408938,0.06684465469389089
5.0,0.7891963109354414,0.16486830518817866,0.3052629791448238,0.23841619027593178,0.0631504655257733
6.0,0.7878787878787878,0.16393309549846982,0.30920385057527633,0.23845588693882402,0.06167286458826742
7.0,0.7918313570487484,0.16499585200582398,0.30472551079389165,0.23858965980718538,0.05656475214801384
8.0,0.7878787878787878,0.1640565476450752,0.3086836367206308,0.23894095004042107,0.055166634538753374
9.0,0.7905138339920948,0.16507711479360418,0.30438307828678024,0.23865832007255633,0.0587853812793878
10.0,0.7905138339920948,0.16314196960915317,0.3125375686167028,0.23849957911605044,0.06223044808341582
11.0,0.7905138339920948,0.1639437115148319,0.3091591158424706,0.2384735815846508,0.062095068373805275
12.0,0.7931488801054019,0.16286357196721654,0.31371070585585503,0.2387750821861611,0.05936247038178108
13.0,0.7918313570487484,0.1643863277067418,0.3072939795799319,0.23849650938324904,0.059656537058687
14.0,0.7918313570487484,0.1643772761925784,0.3073321216714452,0.23853508699350723,0.05972669458915628
15.0,0.7905138339920948,0.16386825901126204,0.3094770644468815,0.23862425728932568,0.05788919044184087
16.0,0.7905138339920948,0.16385875145159678,0.3095171282643018,0.23866410376132308,0.05875549038337517
17.0,0.7905138339920948,0.16486117239792966,0.3052930359434445,0.23865228090882537,0.05908609358756732
18.0,0.7918313570487484,0.16414354071141413,0.3083170574458918,0.23863861854548274,0.059378959484224135
19.0,0.7905138339920948,0.16448480207971844,0.3068790193337264,0.23866114568479935,0.05906068741666284
20.0,0.7905138339920948,0.16354170870579285,0.3108531117479201,0.23868467769264484,0.05842224071939397
21.0,0.7905138339920948,0.16399839807923489,0.3089286726363566,0.23862311732646188,0.05808745119944133
22.0,0.7905138339920948,0.1630673017688685,0.31285221073577996,0.23861004587855195,0.059760186763632206
23.0,0.7918313570487484,0.16403565077247956,0.308771693858088,0.2386644900147559,0.05922000887581594
24.0,0.7918313570487484,0.1640333409940247,0.30878142701207867,0.23865551471875027,0.058330620485240216
25.0,0.7918313570487484,0.1648612985867673,0.3052925041974729,0.23857548577941534,0.05898749375004258
26.0,0.7918313570487484,0.1645526250786108,0.30659322062825567,0.23862472602799872,0.05917125911408606
27.0,0.7905138339920948,0.16379062823782556,0.3098041920424638,0.23866050330693983,0.0588795232794719
28.0,0.7905138339920948,0.16327263658473426,0.3119869522612079,0.2386268760990524,0.05926585423077374
29.0,0.7905138339920948,0.16339548132916892,0.31146929793293143,0.23864307312129193,0.05886896896643836
30.0,0.7905138339920948,0.16317137828409578,0.312413643674346,0.23865126731779987,0.05922414799493698
31.0,0.7905138339920948,0.16391102233809338,0.3092968644608942,0.23862032011897347,0.058733847235212466
32.0,0.7865612648221344,0.1662725572534374,0.2993456144018912,0.23851637320153304,0.06025121204397731
33.0,0.7905138339920948,0.16361639436169656,0.31053839455577137,0.23860211588934177,0.05938384125481989
34.0,0.7905138339920948,0.16476556411241014,0.30569591881031877,0.2386094249977237,0.05890348751143501
35.0,0.7918313570487484,0.16418669774817427,0.30813519840929005,0.23865203887418826,0.05888029470902739
36.0,0.7918313570487484,0.16429451364528985,0.30768087400122734,0.2386096722244187,0.05849648869762727
37.0,0.7918313570487484,0.16449253837150432,0.30684641944558133,0.23862827882656953,0.05883882896312186
38.0,0.7918313570487484,0.16448615012960238,0.3068733387988336,0.23858091608662652,0.05890910757326688
39.0,0.7918313570487484,0.16415687969932266,0.30826084840856205,0.2386538905539686,0.058888635005666184
40.0,0.7918313570487484,0.164264750955562,0.30780629072320165,0.23862069413297504,0.0592270918487942
41.0,0.7905138339920948,0.16355869793999167,0.31078152097163103,0.2386056627495612,0.05918037677023513
42.0,0.7905138339920948,0.16377749654120805,0.30985952757694635,0.23863134691272114,0.05923993781612378
43.0,0.7905138339920948,0.16487755542755864,0.3052239996469651,0.23860751254745932,0.05927337254109855
44.0,0.7918313570487484,0.16416916967597842,0.3082090597900131,0.23864256287466387,0.05851864293162621
45.0,0.7905138339920948,0.1637192133160797,0.31010512671830526,0.238637735893955,0.05911626446575035
46.0,0.7905138339920948,0.16398601744789382,0.30898084326384245,0.2386051783650024,0.058893108429301386
47.0,0.7918313570487484,0.1644525772462474,0.30701481126036545,0.23860618927876165,0.0588722538374148
48.0,0.7905138339920948,0.16365250718865823,0.3103862190494521,0.23864822128266194,0.058934402252463144
49.0,0.7918313570487484,0.1640991426040484,0.30850414621839817,0.238625978399401,0.058784508835080754
50.0,0.7905138339920948,0.16391024819459724,0.3093001266169867,0.23863203051929702,0.05899280773341639
51.0,0.7918313570487484,0.16406510936028437,0.30864755858838444,0.2386045354404693,0.05889079126968013
52.0,0.7905138339920948,0.16509754165132046,0.3042970017406603,0.23857032000625164,0.05904794558878442
53.0,0.7918313570487484,0.16408315892386968,0.3085714996999359,0.23862251223871042,0.05894063539531523
54.0,0.7905138339920948,0.16387174725634907,0.30946236536328864,0.23864137506093516,0.05888133307203893
55.0,0.7918313570487484,0.16417693412374534,0.308176341255641,0.2386058183153031,0.05909681702029582
56.0,0.7918313570487484,0.16446916082824026,0.3069449298581416,0.238631030083592,0.05890284378029689
57.0,0.7918313570487484,0.16309270293369213,0.312745173003114,0.238621463999261,0.0592611653007584
58.0,0.7918313570487484,0.16443827673434744,0.3070750720547174,0.23861124043269205,0.058834334512362585
59.0,0.7918313570487484,0.16450808935690764,0.3067808892925411,0.23864234848427998,0.0588983952926415
60.0,0.7878787878787878,0.16448930817640206,0.3068600311347388,0.23856500416661405,0.059149637549785486
61.0,0.7905138339920948,0.16384737377408354,0.3095650725539624,0.23863600480634897,0.058971017955058914
62.0,0.7905138339920948,0.16365352265017158,0.3103819400056069,0.23862979597201192,0.05883490899838533
63.0,0.7905138339920948,0.1633973194407736,0.31146155233150263,0.23862551980540325,0.05880700458694123
64.0,0.7905138339920948,0.1637697769075999,0.309892057269351,0.23864753915171588,0.05886549165181848
65.0,0.7905138339920948,0.16397230732394844,0.30903861622787265,0.23863414933661192,0.05877791758444022
66.0,0.7905138339920948,0.1640840648737624,0.3085676821260924,0.238608275778498,0.05879809104428059
67.0,0.7905138339920948,0.16362662267190822,0.3104952935743138,0.2386136030856889,0.058911782589045
68.0,0.7905138339920948,0.16399624497799825,0.3089377455696716,0.23860462670102878,0.05892074693442315
69.0,0.7918313570487484,0.1643248651782846,0.3075529759580766,0.23860330228091506,0.05884065677648011
70.0,0.7905138339920948,0.16376900406857964,0.30989531392852454,0.23863677604374123,0.05887990351203553
71.0,0.7905138339920948,0.16389456490217658,0.3093662142973391,0.2386429224278621,0.05886924196967596
72.0,0.7905138339920948,0.1637875142523571,0.3098173140369239,0.2386301467967335,0.058876500955378594
73.0,0.7918313570487484,0.16415705078507253,0.3082601274719088,0.23862411161613314,0.0590341927106688
74.0,0.7918313570487484,0.1642742595619629,0.3077662224949518,0.23861669746167452,0.0588451971841076
75.0,0.7905138339920948,0.16357628797018223,0.31070739850668905,0.23862744355433693,0.058827377576241055
76.0,0.7918313570487484,0.16409969707462704,0.30850180973997365,0.23862726044084712,0.05887847385339908
77.0,0.7918313570487484,0.16436517659966365,0.30738310803371494,0.23862811336274095,0.05891054629109206
78.0,0.7918313570487484,0.1648727028916734,0.3052444477028886,0.23858568935239263,0.059033486111269594
79.0,0.7918313570487484,0.1644252760973123,0.3071298553184423,0.23862361489324416,0.0590426030702013
80.0,0.7918313570487484,0.1642707159087143,0.3077811550624824,0.23863378873428978,0.05881933697332734
81.0,0.7918313570487484,0.16435672730257744,0.30741871244827657,0.2386339712261217,0.0590981180506903
82.0,0.7905138339920948,0.16485987221682458,0.3052985147645344,0.2385907606693241,0.05907886701394941
83.0,0.7905138339920948,0.16383153487386923,0.30963181594855205,0.23862756899103413,0.05892551994602847
84.0,0.7918313570487484,0.16437679864682034,0.3073341339970822,0.23860072953711972,0.05887419664648957
85.0,0.7905138339920948,0.16388019243869326,0.3094267782878003,0.23863230470313213,0.05899596455584971
86.0,0.7918313570487484,0.16431245497335734,0.3076052712054228,0.23862850485628756,0.058805031401804854
87.0,0.7918313570487484,0.1643026513796603,0.30764658247790155,0.23859172336009352,0.058865820344318656
88.0,0.7891963109354414,0.16485532664141017,0.3053176693225791,0.2385690247217089,0.05905111035124331
89.0,0.7918313570487484,0.16405037083137813,0.30870966513853315,0.23863809330345997,0.058860751786663834
90.0,0.7905138339920948,0.1641828851924908,0.30815126410229476,0.23858279185064382,0.05894984123361309
91.0,0.7918313570487484,0.16445599556838775,0.30700040682442853,0.23861947794467106,0.058937383557647
92.0,0.7918313570487484,0.1640900169186519,0.3085426008593819,0.23861991016774353,0.058869973780065324
93.0,0.7905138339920948,0.16474422125067548,0.305785855297269,0.2386236307601603,0.05925576180441728
94.0,0.7905138339920948,0.16397539991325993,0.3090255843944797,0.23861164569311105,0.05882257422569347
95.0,0.7918313570487484,0.16397381913489803,0.30903224562174547,0.23863732251628586,0.05884027129217328
96.0,0.7905138339920948,0.16397148980908627,0.30904206114616195,0.238616741361134,0.05875856627360473
97.0,0.7918313570487484,0.16452477747222702,0.30671056739830294,0.23862590735629557,0.05903416755954268
98.0,0.7918313570487484,0.1643194242207954,0.3075759035583351,0.23863238837645173,0.05909156888025173
99.0,0.7905138339920948,0.1637821760083471,0.3098398088138059,0.2386383260196676,0.05878115388352718
100.0,0.7905138339920948,0.16383545498905802,0.3096152970115462,0.23864041917056844,0.05885194772368521
