t1,accuracy,mse,r2,bias,variance
1.0,0.7918313570487484,0.16405360458508686,0.308696038453797,0.23869372294072988,0.05807256708143038
2.0,0.7891963109354414,0.166077469674377,0.3001676921404084,0.2386402228933643,0.0595454601407772
3.0,0.7905138339920948,0.1636599273911048,0.31035495112724,0.23860702394956884,0.05975874888713919
4.0,0.7905138339920948,0.16362271901326386,0.3105117431652399,0.23863019297210722,0.05881528845589983
5.0,0.7918313570487484,0.16412889717369608,0.3083787637135542,0.23856611323670404,0.0587414893438007
6.0,0.7905138339920948,0.1640016649864992,0.30891490624616025,0.23863078631660423,0.05879847594021134
7.0,0.7905138339920948,0.16396199432281616,0.30908207408761434,0.23863193738057548,0.05817223963790394
8.0,0.7918313570487484,0.16477662062963996,0.3056493278549951,0.23866564451802186,0.058529353997531904
9.0,0.7918313570487484,0.16431406640206989,0.3075984808209289,0.23863157866630985,0.058647688673101
10.0,0.7905138339920948,0.16341580395428934,0.3113836606115796,0.2385923917610898,0.06009976185232326
11.0,0.7905138339920948,0.16397292165506736,0.3090360275036732,0.23857893691795248,0.05963498268751444
12.0,0.7905138339920948,0.16483281850160847,0.3054125161639595,0.2385829702719584,0.05889876314544167
13.0,0.7905138339920948,0.1633128921624433,0.3118173196559689,0.2386363023786858,0.058884088302748605
14.0,0.7905138339920948,0.1639100873792726,0.30930080427519047,0.23867273573398692,0.05853252429583233
15.0,0.7918313570487484,0.1632314159715404,0.3121606514205183,0.23866306429922204,0.05834540902573577
16.0,0.7905138339920948,0.16453656165013353,0.3066609101604084,0.23860022688630775,0.06027221772494928
17.0,0.7905138339920948,0.16352777400075794,0.31091183107211895,0.23862442388724406,0.05938901634753696
18.0,0.7878787878787878,0.1645607187318219,0.30655911485811815,0.23853919519991504,0.05956104683672338
19.0,0.7918313570487484,0.16422116885389101,0.3079899409368856,0.2385291815595621,0.05990570040109492
20.0,0.7891963109354414,0.16385109869061196,0.30954937616277955,0.23864129972194917,0.059053628074007075
21.0,0.7905138339920948,0.1647714062687826,0.30567130060181025,0.23860162500568113,0.05934011508100304
22.0,0.7905138339920948,0.1640143912401664,0.30886127920396256,0.23854165079408196,0.05998940734984055
23.0,0.7905138339920948,0.16369351108246763,0.31021343312194405,0.23859850751476203,0.05838705194479241
24.0,0.7918313570487484,0.16297169038280782,0.31325510666799583,0.23862745240329214,0.05935540672034515
25.0,0.7905138339920948,0.16306855134227977,0.31284694516998135,0.23861433686971828,0.059371687646402375
26.0,0.7905138339920948,0.1634283815652189,0.3113306599336343,0.23865258231262865,0.05893902936802905
27.0,0.7918313570487484,0.164333579881668,0.3075162531503828,0.2386148930519541,0.05866290184114281
28.0,0.7905138339920948,0.1636489731872882,0.3104011109450211,0.23859278821396296,0.059132956499598946
29.0,0.7918313570487484,0.16416796478272255,0.30821413707851975,0.23863203912407466,0.05857376695721294
30.0,0.7865612648221344,0.16593348018166565,0.30077444812717347,0.23856449068569943,0.059728480036897916
31.0,0.7918313570487484,0.1642862099082185,0.3077158650417935,0.23861873717563456,0.059201604947183545
32.0,0.7905138339920948,0.1639113084544077,0.309295658798013,0.23865151205259816,0.05858901934200208
33.0,0.7878787878787878,0.16564820589395235,0.3019765628001321,0.23851872103413022,0.06003661165288273
34.0,0.7905138339920948,0.1630242052968545,0.31303381455916013,0.23873814562975348,0.05981734177288209
35.0,0.7905138339920948,0.16385069811930067,0.3095510641265099,0.23867505130319033,0.05877985777240181
36.0,0.7905138339920948,0.1630665336630079,0.312855447449936,0.238686928235532,0.05920482379867347
37.0,0.7918313570487484,0.16497954899135295,0.30479420991523964,0.2386420024506519,0.0588118883268331
38.0,0.7918313570487484,0.16435056575154022,0.3074446765509983,0.23865694478823926,0.057553329436219186
39.0,0.7878787878787878,0.16524932188028546,0.30365741644271294,0.23858567972870046,0.058634122857335734
40.0,0.7905138339920948,0.1634218776229189,0.31135806683572,0.2386721811977556,0.05880865500855677
41.0,0.7918313570487484,0.1642632293616174,0.3078127025538008,0.23863746694008037,0.05815901164990591
42.0,0.7905138339920948,0.163359779535261,0.3116197413908808,0.23871011355416602,0.05799621057763379
43.0,0.7905138339920948,0.16395666511125906,0.3091045308027268,0.23860610878105337,0.05912895030585083
44.0,0.7891963109354414,0.16449493237493967,0.3068363313767274,0.23864894711418944,0.05846180927153997
45.0,0.7891963109354414,0.1646081318331956,0.30635932123034804,0.2385840647429576,0.05957975838721705
46.0,0.7905138339920948,0.16344614115776826,0.3112558229514426,0.23857874034909013,0.060489782508358285
47.0,0.7905138339920948,0.16464245953443862,0.3062146680487242,0.2386214569609814,0.05915172578239635
48.0,0.7905138339920948,0.16512790898111676,0.3041690371315141,0.23857413450707493,0.05901388009480228
49.0,0.7891963109354414,0.1638792089757747,0.3094309224930637,0.23856782991250847,0.05999302609766395
50.0,0.7905138339920948,0.16420315432239632,0.30806585220393257,0.23865164207713194,0.058911646620403886
51.0,0.7905138339920948,0.16614243853860408,0.2998939204465104,0.2386115457590133,0.06015269564741555
52.0,0.7905138339920948,0.16358999064331,0.31064965693959,0.23866420555038875,0.05849552166376489
53.0,0.7891963109354414,0.16487815345297419,0.30522147963321766,0.23854896037822587,0.060103104151523236
54.0,0.7905138339920948,0.16501722886885165,0.30463543102920854,0.23860976274408238,0.05865296786253612
55.0,0.7905138339920948,0.16355238822513946,0.3108081094204773,0.23862242354980492,0.059019142520198846
56.0,0.7905138339920948,0.16358976150830493,0.31065062248946096,0.2386637724775205,0.05876757251400926
57.0,0.7891963109354414,0.16364066787765355,0.31043610861219717,0.23866657266841615,0.05830023464736504
58.0,0.7905138339920948,0.16478969576382402,0.30559423066842595,0.23865870202351136,0.05958143190942644
59.0,0.7891963109354414,0.16385399846326482,0.30953715683771454,0.23859018731207876,0.0601208251296432
60.0,0.7918313570487484,0.16481414776515058,0.30549119260700974,0.23860432763126196,0.05846142021239651
61.0,0.7905138339920948,0.1631273548695594,0.3125991535322169,0.23862344039860614,0.05916648227494408
62.0,0.7918313570487484,0.16400429608814573,0.3089038190713549,0.23864094808527644,0.05904506032094402
63.0,0.7905138339920948,0.16491422349012053,0.3050694844385041,0.23856644051718223,0.05934255331333914
64.0,0.7891963109354414,0.16369961708677522,0.3101877030870709,0.23862118306890556,0.05936621302040406
65.0,0.7891963109354414,0.16351847269697797,0.31095102574977873,0.23861247606546246,0.05971796929718771
66.0,0.7891963109354414,0.16345699693155305,0.3112100779070588,0.23860037493720304,0.0591106815917673
67.0,0.7905138339920948,0.1636786157396731,0.3102762004686811,0.23860784881582298,0.0595499488192255
68.0,0.7878787878787878,0.1649673283242625,0.30484570647085474,0.23863260121192462,0.05956065988674905
69.0,0.7865612648221344,0.16577996127451125,0.30142136002500397,0.23848638841831638,0.06063592304496061
70.0,0.7905138339920948,0.16538539609197744,0.30308401458516243,0.23867669489107554,0.05784386343541854
71.0,0.7918313570487484,0.16243281678861626,0.3155258611045071,0.2386353479976199,0.060681061239768797
72.0,0.7905138339920948,0.1636522287018519,0.3103873925624202,0.23868209043494876,0.057479676001971805
73.0,0.7905138339920948,0.16360454717385453,0.3105883173106483,0.23865564004013465,0.0588158630530336
74.0,0.7878787878787878,0.16434539869270207,0.30746644997227357,0.23857265258160093,0.05961972354153558
75.0,0.7931488801054019,0.16511211393582317,0.30423559572626047,0.23862105321801008,0.058805978488573316
76.0,0.7905138339920948,0.16421662452264524,0.30800909025213974,0.23869751416405416,0.05795946822751556
77.0,0.7891963109354414,0.16354932867987101,0.31082100200988405,0.23869940729509492,0.05838068092411085
78.0,0.7918313570487484,0.16282504358166083,0.3138730602621115,0.23869368870595833,0.05886696863104821
79.0,0.7891963109354414,0.16374838758047153,0.30998218955639234,0.2386240330964983,0.05946343165084806
80.0,0.7918313570487484,0.16266407843826303,0.31455134978572896,0.23863901737430382,0.05950862997776325
81.0,0.7865612648221344,0.1666687878450604,0.29767594198983083,0.23856731850560553,0.05892455842861241
82.0,0.7878787878787878,0.1644961665309675,0.30683113077809765,0.23860696384837798,0.05918649365317273
83.0,0.7905138339920948,0.16384754915656735,0.3095643335113417,0.2385791923575182,0.059186314088280546
84.0,0.7918313570487484,0.1645898416009422,0.3064363942702628,0.2387093037574679,0.05843496045230243
85.0,0.7905138339920948,0.16454383972306197,0.30663024115645343,0.23867052745717884,0.05881224997576958
86.0,0.7878787878787878,0.16493484487069143,0.30498258819433266,0.23867028309755328,0.05824209616169394
87.0,0.7905138339920948,0.16411077659553838,0.3084551218496502,0.23861014915758608,0.059334442855304356
88.0,0.7878787878787878,0.1654949502603233,0.30262236529209796,0.23867024111086177,0.058720968307414925
89.0,0.7905138339920948,0.16325794374460567,0.31204886628384043,0.23863756986531598,0.0589734934721384
90.0,0.7905138339920948,0.1631370338614831,0.312558367317994,0.23858891509316058,0.05976762952493495
91.0,0.7865612648221344,0.16435474703000102,0.30742705710050466,0.23867661963972597,0.05868606806673885
92.0,0.7931488801054019,0.1633598372794182,0.3116194980633129,0.23869371202855647,0.05981136421649472
93.0,0.7891963109354414,0.1673933099147236,0.29462288516579715,0.2385483265182664,0.0611592775621387
94.0,0.7905138339920948,0.16320536494184384,0.31227042761273993,0.2386106499713041,0.059153972449158584
95.0,0.7918313570487484,0.1638465913770102,0.3095683694897272,0.2385851148159478,0.05958508068664343
96.0,0.7905138339920948,0.1638567058796854,0.30952574808079125,0.23867745276772515,0.05788368000838267
97.0,0.7905138339920948,0.16510910750649846,0.3042482644908848,0.23859607550623727,0.060046024234623525
98.0,0.7905138339920948,0.16523466763261244,0.30371916784095543,0.23863759113270513,0.05927343034167588
99.0,0.7918313570487484,0.1645735531167088,0.30650503216277736,0.23858958152079754,0.059200840046329375
100.0,0.7865612648221344,0.16411641368095664,0.30843136778773195,0.2386327191402819,0.06006570693550217
